STAID,YearDamRemoved,Dam_Latitude,Dam_Longitude,Location,River_Basin,State
01166500,2012,42.578350,-72.173470,Phillipston,Thousand Acre Brook,MA
01166500,2012,42.578891,-72.175173,Phillipston,Thousand Acre Brook,MA
01170500,2001,42.787653,-72.470641,Hinsdale,Ashuelot River,NH
01170500,2002,42.776881,-72.383351,Winchester,Ashuelot River,NH
01170500,2007,43.553462,-72.707791,Plymouth,Pinney Hollow Brook,VT
01170500,2008,44.206900,-71.891900,Lisbon,Pearl Lake Brook,NH
01170500,2010,42.871341,-72.328241,Swanzey,Asheulot River,NH
01170500,2010,43.823072,-72.224275,Thetford,Zebedee Brook,VT
01170500,2011,43.387700,-72.351300,Claremont,Stevens Brook,NH
01170500,2012,42.578350,-72.173470,Phillipston,Thousand Acre Brook,MA
01170500,2012,42.578891,-72.175173,Phillipston,Thousand Acre Brook,MA
01171300,2012,42.379153,-72.472132,Pelham,Amethyst Brook,MA
01173500,2006,42.414554,-72.106369,Barre,Galloway Brook,MA
01177000,2006,42.414554,-72.106369,Barre,Galloway Brook,MA
01181000,2003,42.328315,-73.083637,Becket,Yokum Brook,MA
01181000,2006,42.331868,-73.083379,Becket,Yokum Brook,MA
01183500,2003,42.328315,-73.083637,Becket,Yokum Brook,MA
01183500,2006,42.331868,-73.083379,Becket,Yokum Brook,MA
01184000,2001,42.787653,-72.470641,Hinsdale,Ashuelot River,NH
01184000,2002,42.776881,-72.383351,Winchester,Ashuelot River,NH
01184000,2003,42.328315,-73.083637,Becket,Yokum Brook,MA
01184000,2006,42.331868,-73.083379,Becket,Yokum Brook,MA
01184000,2006,42.414554,-72.106369,Barre,Galloway Brook,MA
01184000,2007,43.553462,-72.707791,Plymouth,Pinney Hollow Brook,VT
01184000,2008,44.206900,-71.891900,Lisbon,Pearl Lake Brook,NH
01184000,2010,42.871341,-72.328241,Swanzey,Asheulot River,NH
01184000,2010,43.823072,-72.224275,Thetford,Zebedee Brook,VT
01184000,2011,43.387700,-72.351300,Claremont,Stevens Brook,NH
01184000,2012,42.379153,-72.472132,Pelham,Amethyst Brook,MA
01184000,2012,42.578350,-72.173470,Phillipston,Thousand Acre Brook,MA
01184000,2012,42.578891,-72.175173,Phillipston,Thousand Acre Brook,MA
01190000,2012,41.901223,-72.756851,East Granby,Farmington River,CT
01193500,2007,41.614861,-72.367819,Amston,Raymond Brook,CT
01196500,1971,41.474559,-72.831243,Wallingford,Tributary of Qunnipiac,CT
01197000,2000,42.470514,-73.169056,Dalton,Housatonic River,MA
01197500,2000,42.470514,-73.169056,Dalton,Housatonic River,MA
01197500,2010,42.420399,-73.185428,Dalton,Hathaway Brook,MA
01197500,2010,42.421619,-73.185922,Dalton,Hathaway Brook,MA
01197500,2013,42.429515,-73.236505,Pittsfield,Sackett Brook,MA
01198125,2000,42.470514,-73.169056,Dalton,Housatonic River,MA
01198125,2010,42.420399,-73.185428,Dalton,Hathaway Brook,MA
01198125,2010,42.421619,-73.185922,Dalton,Hathaway Brook,MA
01198125,2013,42.429515,-73.236505,Pittsfield,Sackett Brook,MA
01199000,2000,42.470514,-73.169056,Dalton,Housatonic River,MA
01199000,2010,42.420399,-73.185428,Dalton,Hathaway Brook,MA
01199000,2010,42.421619,-73.185922,Dalton,Hathaway Brook,MA
01199000,2013,42.429515,-73.236505,Pittsfield,Sackett Brook,MA
01200500,2000,42.470514,-73.169056,Dalton,Housatonic River,MA
01200500,2010,42.420399,-73.185428,Dalton,Hathaway Brook,MA
01200500,2010,42.421619,-73.185922,Dalton,Hathaway Brook,MA
01200500,2013,42.429515,-73.236505,Pittsfield,Sackett Brook,MA
01205500,2000,42.470514,-73.169056,Dalton,Housatonic River,MA
01205500,2010,42.420399,-73.185428,Dalton,Hathaway Brook,MA
01205500,2010,42.421619,-73.185922,Dalton,Hathaway Brook,MA
01205500,2013,42.429515,-73.236505,Pittsfield,Sackett Brook,MA
01208500,1999,41.495000,-73.050000,Naugatuck,Naugatuck River,CT
01208500,1999,41.519776,-73.051520,Waterbury,Naugatuck River,CT
01208500,1999,41.553377,-73.052648,Waterbury,Naugatuck River,CT
01208500,1999,41.572274,-73.053614,Waterbury,Naugatuck River,CT
01208500,2004,41.598403,-73.060395,Watertown,Naugatuck River,CT
01327750,1973,43.268333,-73.596667,Fort Edward,Hudson River,NY
01329000,2013,43.179488,-73.030765,Manchester,Battenkill River,VT
01329490,1974,43.105529,-73.258444,,Batten Kill River,VT
01329490,2013,43.179488,-73.030765,Manchester,Battenkill River,VT
01329500,1974,43.105529,-73.258444,,Batten Kill River,VT
01329500,2013,43.179488,-73.030765,Manchester,Battenkill River,VT
01331095,1973,43.268333,-73.596667,Fort Edward,Hudson River,NY
01331095,1974,43.105529,-73.258444,,Batten Kill River,VT
01331095,2013,43.179488,-73.030765,Manchester,Battenkill River,VT
01331500,2012,42.564859,-73.176815,Cheshire,Thunder Brook,MA
01332000,2010,42.714354,-73.083379,Clarksburg,North Branch Hoosic River,MA
01332500,2009,42.624320,-73.124111,Adams,Hoxie Brook,MA
01332500,2010,42.714354,-73.083379,Clarksburg,North Branch Hoosic River,MA
01332500,2012,42.564859,-73.176815,Cheshire,Thunder Brook,MA
01334000,2013,42.912372,-73.254347,North Bennington,Walloomsac River,VT
01334500,2009,42.624320,-73.124111,Adams,Hoxie Brook,MA
01334500,2010,42.714354,-73.083379,Clarksburg,North Branch Hoosic River,MA
01334500,2012,42.564859,-73.176815,Cheshire,Thunder Brook,MA
01334500,2013,42.912372,-73.254347,North Bennington,Walloomsac River,VT
01335754,1973,43.268333,-73.596667,Fort Edward,Hudson River,NY
01335754,1974,43.105529,-73.258444,,Batten Kill River,VT
01335754,2009,42.624320,-73.124111,Adams,Hoxie Brook,MA
01335754,2010,42.714354,-73.083379,Clarksburg,North Branch Hoosic River,MA
01335754,2012,42.564859,-73.176815,Cheshire,Thunder Brook,MA
01335754,2013,42.912372,-73.254347,North Bennington,Walloomsac River,VT
01335754,2013,43.179488,-73.030765,Manchester,Battenkill River,VT
01346000,2002,43.255018,-74.928628,Cold Brook,Black Creek,NY
01347000,2002,43.255018,-74.928628,Cold Brook,Black Creek,NY
01357500,2002,43.255018,-74.928628,Cold Brook,Black Creek,NY
01358000,1973,43.268333,-73.596667,Fort Edward,Hudson River,NY
01358000,1974,43.105529,-73.258444,,Batten Kill River,VT
01358000,2002,43.255018,-74.928628,Cold Brook,Black Creek,NY
01358000,2009,42.624320,-73.124111,Adams,Hoxie Brook,MA
01358000,2010,42.714354,-73.083379,Clarksburg,North Branch Hoosic River,MA
01358000,2012,42.564859,-73.176815,Cheshire,Thunder Brook,MA
01358000,2013,42.912372,-73.254347,North Bennington,Walloomsac River,VT
01358000,2013,43.179488,-73.030765,Manchester,Battenkill River,VT
01371500,2009,41.087256,-74.670774,Lafayette Township,Tributary to Paulins Kill,NJ
01372058,1973,43.268333,-73.596667,Fort Edward,Hudson River,NY
01372058,1974,43.105529,-73.258444,,Batten Kill River,VT
01372058,2002,43.255018,-74.928628,Cold Brook,Black Creek,NY
01372058,2009,42.624320,-73.124111,Adams,Hoxie Brook,MA
01372058,2010,42.535000,-73.418333,Stephentown,trib to Kinderhook Creek,NY
01372058,2010,42.714354,-73.083379,Clarksburg,North Branch Hoosic River,MA
01372058,2011,41.728056,-74.098889,New Paltz,Unknown,NY
01372058,2012,42.564859,-73.176815,Cheshire,Thunder Brook,MA
01372058,2013,42.912372,-73.254347,North Bennington,Walloomsac River,VT
01372058,2013,43.179488,-73.030765,Manchester,Battenkill River,VT
01378500,2013,40.945000,-73.943000,"Demarest Borough, Bergen County",Cresskill Brook,NJ
01379000,2011,40.765800,-74.505200,"Harding Township, Hunterdon County",Catfish Brook,NJ
01379500,2011,40.765800,-74.505200,"Harding Township, Hunterdon County",Catfish Brook,NJ
01381500,1996,40.806660,-74.508333,Morristown,Tributary to Whippany River,NJ
01381800,1996,40.806660,-74.508333,Morristown,Tributary to Whippany River,NJ
01381900,1990,40.917300,-74.382900,Montville,Crooked Brook,NJ
01381900,1996,40.806660,-74.508333,Morristown,Tributary to Whippany River,NJ
01381900,2011,40.765800,-74.505200,"Harding Township, Hunterdon County",Catfish Brook,NJ
01384500,2012,41.153174,-74.238133,"Town of Tuxedo, Orange County",Tributary to Summit Brook,NY
01387420,2012,41.125789,-74.183425,"Village of Hillburn, Rockland County",Tributary to Ramapo River,NY
01387500,2012,41.125789,-74.183425,"Village of Hillburn, Rockland County",Tributary to Ramapo River,NY
01388000,2012,41.125789,-74.183425,"Village of Hillburn, Rockland County",Tributary to Ramapo River,NY
01388500,2012,41.125789,-74.183425,"Village of Hillburn, Rockland County",Tributary to Ramapo River,NY
01388500,2012,41.153174,-74.238133,"Town of Tuxedo, Orange County",Tributary to Summit Brook,NY
01389500,1990,40.917300,-74.382900,Montville,Crooked Brook,NJ
01389500,1996,40.806660,-74.508333,Morristown,Tributary to Whippany River,NJ
01389500,2011,40.765800,-74.505200,"Harding Township, Hunterdon County",Catfish Brook,NJ
01389500,2012,41.125789,-74.183425,"Village of Hillburn, Rockland County",Tributary to Ramapo River,NY
01389500,2012,41.153174,-74.238133,"Town of Tuxedo, Orange County",Tributary to Summit Brook,NY
01389890,1990,40.917300,-74.382900,Montville,Crooked Brook,NJ
01389890,1996,40.806660,-74.508333,Morristown,Tributary to Whippany River,NJ
01389890,2011,40.765800,-74.505200,"Harding Township, Hunterdon County",Catfish Brook,NJ
01389890,2012,41.125789,-74.183425,"Village of Hillburn, Rockland County",Tributary to Ramapo River,NY
01389890,2012,41.153174,-74.238133,"Town of Tuxedo, Orange County",Tributary to Summit Brook,NY
01391000,2010,41.029767,-74.172450,Franklin Lakes Borough,Tributary to Hohokus Brook,NJ
01391500,2010,41.029767,-74.172450,Franklin Lakes Borough,Tributary to Hohokus Brook,NJ
01397000,2011,40.564350,-74.935983,"Franklin Township, Morris County",Unnamed tributary to Capoolong Creek,NJ
01399510,1982,,,"""Pottersville Reservoir demolished"" (ADR comment)",Cold Brook,NJ
01399510,1985,40.722600,-74.753220,Califon,Cold Brook,NJ
01400000,1985,40.722600,-74.753220,Califon,Cold Brook,NJ
01400500,1985,40.722600,-74.753220,Califon,Cold Brook,NJ
01400500,2011,40.564350,-74.935983,"Franklin Township, Morris County",Unnamed tributary to Capoolong Creek,NJ
01400500,2012,40.556612,-74.648584,Bridgewater,Raritan River,NJ
01400500,2013,40.564754,-74.636403,Borough of Raritan,Raritan River,NJ
01402000,2012,40.412614,-74.696091,Skillman,Rock Brook,NJ
01403060,1985,40.722600,-74.753220,Califon,Cold Brook,NJ
01403060,2011,40.564350,-74.935983,"Franklin Township, Morris County",Unnamed tributary to Capoolong Creek,NJ
01403060,2011,40.550535,-74.551358,Bridgewater Township,Raritan River,NJ
01403060,2012,40.412614,-74.696091,Skillman,Rock Brook,NJ
01403060,2012,40.556612,-74.648584,Bridgewater,Raritan River,NJ
01403060,2013,40.564754,-74.636403,Borough of Raritan,Raritan River,NJ
01418500,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01420500,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01420980,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01421000,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01427207,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01427510,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01428500,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01431500,2003,41.481300,-75.232500,Hawley,Red Shale Brook,PA
01432110,2003,41.481300,-75.232500,Hawley,Red Shale Brook,PA
01434000,2003,41.481300,-75.232500,Hawley,Red Shale Brook,PA
01434000,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01437500,2004,41.468333,-74.613333,"Godeffroy, Orange County",Neversink River,NY
01438500,2003,41.481300,-75.232500,Hawley,Red Shale Brook,PA
01438500,2004,41.468333,-74.613333,"Godeffroy, Orange County",Neversink River,NY
01438500,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01440200,1995,41.103867,-74.923800,Layton,Tributary to Van Campens Brook,NJ
01440200,1999,41.086047,-74.930370,Newton,Tributary to Van Campens Brook,NJ
01440200,2003,41.481300,-75.232500,Hawley,Red Shale Brook,PA
01440200,2004,41.468333,-74.613333,"Godeffroy, Orange County",Neversink River,NY
01440200,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01442500,2007,41.055521,-75.223865,East Stroudsburg,Tributary to Brodhead Creek,PA
01443280,2009,41.087256,-74.670774,Lafayette Township,Tributary to Paulins Kill,NJ
01443500,1995,41.108267,-74.889917,Walpack Township,Tributary to Van Campens Brook,NJ
01443500,2009,41.057400,-74.888567,Stillwater Township,Tributary to Paulins Kill,NJ
01443500,2009,41.087256,-74.670774,Lafayette Township,Tributary to Paulins Kill,NJ
01446500,1995,41.103867,-74.923800,Layton,Tributary to Van Campens Brook,NJ
01446500,1995,41.108267,-74.889917,Walpack Township,Tributary to Van Campens Brook,NJ
01446500,1999,41.086047,-74.930370,Newton,Tributary to Van Campens Brook,NJ
01446500,2003,41.481300,-75.232500,Hawley,Red Shale Brook,PA
01446500,2004,41.468333,-74.613333,"Godeffroy, Orange County",Neversink River,NY
01446500,2007,41.055521,-75.223865,East Stroudsburg,Tributary to Brodhead Creek,PA
01446500,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01446500,2009,40.909360,-75.134100,Mt. Bethel,Tributary to Jacoby Creek,PA
01446500,2009,41.057400,-74.888567,Stillwater Township,Tributary to Paulins Kill,NJ
01446500,2009,41.087256,-74.670774,Lafayette Township,Tributary to Paulins Kill,NJ
01446500,2012,41.056881,-75.102884,Smithfield Twp,Pond Creek,PA
01447500,2003,41.162800,-75.530900,Thornhurst,Trout Creek,PA
01447500,2011,41.213200,-75.613600,,Pond Creek,PA
01447800,2003,41.162800,-75.530900,Thornhurst,Trout Creek,PA
01447800,2011,41.213200,-75.613600,,Pond Creek,PA
01449000,2003,41.162800,-75.530900,Thornhurst,Trout Creek,PA
01449000,2004,40.845000,-75.728400,Lehighton,Beaver Run,PA
01449000,2011,41.213200,-75.613600,,Pond Creek,PA
01451000,2003,41.162800,-75.530900,Thornhurst,Trout Creek,PA
01451000,2004,40.845000,-75.728400,Lehighton,Beaver Run,PA
01451000,2006,40.791820,-75.635600,Slatington,Lehigh River,PA
01451000,2007,40.824241,-75.705316,Lehighton,Mahoning Creek,PA
01451000,2011,41.213200,-75.613600,,Pond Creek,PA
01451500,2000,40.541400,-75.511200,Emmaus,Little Lehigh Creek,PA
01451500,2013,40.562433,-75.512022,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01451500,2013,40.582233,-75.482992,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01451650,2000,40.541400,-75.511200,Emmaus,Little Lehigh Creek,PA
01451650,2001,40.577000,-75.538800,Allentown,Cedar Creek,PA
01451650,2001,40.579000,-75.535400,Allentown,Cedar Creek,PA
01451650,2013,40.562433,-75.512022,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01451650,2013,40.582233,-75.482992,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01452000,2009,40.634546,-75.532269,Allentown,Jordan Creek,PA
01452000,2013,40.624414,-75.488403,"Route 22 Bridge, Whitehall Township",Jordan Creek,PA
01452000,2013,40.627647,-75.489333,Whitehall Township,Jordan Creek,PA
01453000,2000,40.541400,-75.511200,Emmaus,Little Lehigh Creek,PA
01453000,2001,40.577000,-75.538800,Allentown,Cedar Creek,PA
01453000,2001,40.579000,-75.535400,Allentown,Cedar Creek,PA
01453000,2003,41.162800,-75.530900,Thornhurst,Trout Creek,PA
01453000,2004,40.845000,-75.728400,Lehighton,Beaver Run,PA
01453000,2006,40.791820,-75.635600,Slatington,Lehigh River,PA
01453000,2007,40.824241,-75.705316,Lehighton,Mahoning Creek,PA
01453000,2009,40.634546,-75.532269,Allentown,Jordan Creek,PA
01453000,2011,41.213200,-75.613600,,Pond Creek,PA
01453000,2013,40.562433,-75.512022,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01453000,2013,40.582233,-75.482992,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01453000,2013,40.619525,-75.476517,"Jordan Park, City of Allentown",Jordan Creek,PA
01453000,2013,40.623267,-75.482117,MacArthur Road Bridge Whitehall Township,Jordan Creek,PA
01453000,2013,40.624414,-75.488403,"Route 22 Bridge, Whitehall Township",Jordan Creek,PA
01453000,2013,40.627647,-75.489333,Whitehall Township,Jordan Creek,PA
01453000,2013,40.621800,-75.384000,Johnston Park,Monocacy Creek,PA
01454700,2000,40.541400,-75.511200,Emmaus,Little Lehigh Creek,PA
01454700,2001,40.577000,-75.538800,Allentown,Cedar Creek,PA
01454700,2001,40.579000,-75.535400,Allentown,Cedar Creek,PA
01454700,2003,41.162800,-75.530900,Thornhurst,Trout Creek,PA
01454700,2004,40.845000,-75.728400,Lehighton,Beaver Run,PA
01454700,2006,40.791820,-75.635600,Slatington,Lehigh River,PA
01454700,2007,40.824241,-75.705316,Lehighton,Mahoning Creek,PA
01454700,2009,40.601069,-75.346298,Bethlehem,Saucon Creek,PA
01454700,2009,40.634546,-75.532269,Allentown,Jordan Creek,PA
01454700,2010,40.600971,-75.346674,Lower Saucon Twp,East Branch Saucon Creek,PA
01454700,2011,41.213200,-75.613600,,Pond Creek,PA
01454700,2013,40.562433,-75.512022,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01454700,2013,40.582233,-75.482992,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01454700,2013,40.619525,-75.476517,"Jordan Park, City of Allentown",Jordan Creek,PA
01454700,2013,40.623267,-75.482117,MacArthur Road Bridge Whitehall Township,Jordan Creek,PA
01454700,2013,40.624414,-75.488403,"Route 22 Bridge, Whitehall Township",Jordan Creek,PA
01454700,2013,40.627647,-75.489333,Whitehall Township,Jordan Creek,PA
01454700,2013,40.621800,-75.384000,Johnston Park,Monocacy Creek,PA
01457000,2007,40.848909,-74.821613,Hackettstown,Musconetcong River,NJ
01457000,2009,40.853082,-74.811831,Hackettstown,Musconetcong River,NJ
01457500,1995,41.103867,-74.923800,Layton,Tributary to Van Campens Brook,NJ
01457500,1995,41.108267,-74.889917,Walpack Township,Tributary to Van Campens Brook,NJ
01457500,1999,41.086047,-74.930370,Newton,Tributary to Van Campens Brook,NJ
01457500,2000,40.541400,-75.511200,Emmaus,Little Lehigh Creek,PA
01457500,2001,40.577000,-75.538800,Allentown,Cedar Creek,PA
01457500,2001,40.579000,-75.535400,Allentown,Cedar Creek,PA
01457500,2003,41.162800,-75.530900,Thornhurst,Trout Creek,PA
01457500,2003,41.481300,-75.232500,Hawley,Red Shale Brook,PA
01457500,2004,40.845000,-75.728400,Lehighton,Beaver Run,PA
01457500,2004,41.468333,-74.613333,"Godeffroy, Orange County",Neversink River,NY
01457500,2006,40.677222,-75.170000,Phillipsburg,Lopatcong Creek,NJ
01457500,2006,40.791820,-75.635600,Slatington,Lehigh River,PA
01457500,2007,40.824241,-75.705316,Lehighton,Mahoning Creek,PA
01457500,2007,40.848909,-74.821613,Hackettstown,Musconetcong River,NJ
01457500,2007,41.055521,-75.223865,East Stroudsburg,Tributary to Brodhead Creek,PA
01457500,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
01457500,2009,40.601069,-75.346298,Bethlehem,Saucon Creek,PA
01457500,2009,40.634546,-75.532269,Allentown,Jordan Creek,PA
01457500,2009,40.853082,-74.811831,Hackettstown,Musconetcong River,NJ
01457500,2009,40.909360,-75.134100,Mt. Bethel,Tributary to Jacoby Creek,PA
01457500,2009,41.057400,-74.888567,Stillwater Township,Tributary to Paulins Kill,NJ
01457500,2009,41.087256,-74.670774,Lafayette Township,Tributary to Paulins Kill,NJ
01457500,2010,40.600971,-75.346674,Lower Saucon Twp,East Branch Saucon Creek,PA
01457500,2011,40.598297,-75.176978,Holland Township,Musconetcong River,NJ
01457500,2011,40.605833,-75.170556,Pohatcong,Musconetcong River,NJ
01457500,2011,40.793010,-74.956540,Mansfield Township,Pohatcong Creek,NJ
01457500,2011,41.213200,-75.613600,,Pond Creek,PA
01457500,2012,41.056881,-75.102884,Smithfield Twp,Pond Creek,PA
01457500,2013,40.562433,-75.512022,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01457500,2013,40.582233,-75.482992,"Little Lehigh Parkway, City of Allentown",Little Lehigh Creek,PA
01457500,2013,40.619525,-75.476517,"Jordan Park, City of Allentown",Jordan Creek,PA
01457500,2013,40.623267,-75.482117,MacArthur Road Bridge Whitehall Township,Jordan Creek,PA
01457500,2013,40.624414,-75.488403,"Route 22 Bridge, Whitehall Township",Jordan Creek,PA
01457500,2013,40.627647,-75.489333,Whitehall Township,Jordan Creek,PA
01457500,2013,40.621800,-75.384000,Johnston Park,Monocacy Creek,PA
01463500,1995,41.103867,-74.923800,Layton,Tributary to Van Campens Brook,NJ
01463500,1995,41.108267,-74.889917,Walpack Township,Tributary to Van Campens Brook,NJ
01463500,1999,41.086047,-74.930370,Newton,Tributary to Van Campens Brook,NJ
01463500,2000,40.541400,-75.511200,Emmaus,Little Lehigh Creek,PA
01463500,2001,40.577000,-75.538800,Allentown,Cedar Creek,PA
01463500,2001,40.579000,-75.535400,Allentown,Cedar Creek,PA
01463500,2003,41.162800,-75.530900,Thornhurst,Trout Creek,PA
01463500,2003,41.481300,-75.232500,Hawley,Red Shale Brook,PA
01463500,2004,40.580500,-75.199900,Riegelsville,Cooks Creek,PA
01463500,2004,40.845000,-75.728400,Lehighton,Beaver Run,PA
01463500,2004,41.468333,-74.613333,"Godeffroy, Orange County",Neversink River,NY
01463500,2006,40.458330,-75.083300,Pipersville,Smithtown Creek,PA
01463500,2006,40.460000,-75.080000,Pipersville,Smithtown Creek,PA
01463500,2006,40.677222,-75.170000,Phillipsburg,Lopatcong Creek,NJ
01463500,2006,40.791820,-75.635600,Slatington,Lehigh River,PA
01463500,2007,40.824241,-75.705316,Lehighton,Mahoning Creek,PA
01463500,2007,40.848909,-74.821613,Hackettstown,Musconetcong River,NJ
01463500,2007,41.055521,-75.223865,East Stroudsburg,Tributary to Brodhead Creek,PA
01463500,2008,40.436258,-75.100379,Pipersville,Tohickon Creek,PA
01463500,2008,42.036944,-74.742778,Andes,Unnamed Trib to the Beaverkill,NY
